j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
187,0.935,0.235731,0.233131,0.00259975,-0.337031,-0.293536,-0.043495,99.8863,113.588,-13.7021
188,0.94,0.235295,0.233099,0.00219649,0.163122,0.283886,-0.120764,100.133,117.38,-17.2471
189,0.945,0.237363,0.236001,0.00136153,0.663883,0.880265,-0.216382,100.13,121.172,-21.0419
190,0.95,0.241933,0.241933,0,1.164,1.4956,-0.3316,99.8768,124.963,-25.0867
191,0.955,0.249,0.250921,-0.00192135,1.66224,2.08918,-0.426944,99.3745,112.467,-13.0926
192,0.96,0.25855,0.262721,-0.00417052,2.15734,2.62027,-0.462939,98.6243,99.9708,-1.34646
193,0.965,0.270566,0.27702,-0.00645388,2.64807,3.08889,-0.440819,97.628,87.4744,10.1535
194,0.97,0.285022,0.293506,-0.0084839,3.13321,3.49502,-0.361809,96.388,74.9781,21.4099
195,0.975,0.301887,0.311866,-0.00997917,3.61155,3.83867,-0.22712,94.9075,62.4817,32.4258
196,0.98,0.321124,0.331788,-0.0106643,4.08189,4.11984,-0.0379458,93.1902,49.9854,43.2049
197,0.985,0.34269,0.35296,-0.0102698,4.54306,4.33852,0.204541,91.2404,37.489,53.7514
198,0.99,0.366537,0.375069,-0.00853195,4.99391,4.49473,0.499188,89.0629,24.9927,64.0702
199,0.995,0.39261,0.397803,-0.00519284,5.43332,4.58845,0.844872,86.6631,12.4963,74.1668
200,1,0.42085,0.42085,0,5.86018,4.61969,1.2405,84.0471,0,84.0471
